app_id,class_name,method,invocation,method_body,argument_list,number_of_arguments,complexity_score,,,
com.company.locad-7062,AWSKMS.java,verify,"VerifyResult verify(VerifyRequest verifyRequest) throws AmazonClientException, AmazonServiceException;",-,-,-,-,,,
com.CSambirae.android-1400000,StateAwareSignature.java,verify,"boolean verify(byte[] bArr, int i, int i2) throws SignatureException;",-,-,-,-,,,
com.nick.memasik-309,HttpExpectationVerifier.java,verify,"void verify(HttpRequest httpRequest, HttpResponse httpResponse, HttpContext httpContext) throws HttpException;",-,-,-,-,,,
com.radio.station.KZNT.AM-31534,PublicKeyVerify.java,verify,"void verify(final byte[] signature, final byte[] data) throws GeneralSecurityException;",-,-,-,-,,,
com.netpulse.mobile.ymcaofvirginiasblueridge-108,IAppRatingStatisticsVerificator.java,verify,boolean verify();,-,-,-,-,,,
au.com.makingthedough-25061,LMSContextBasedVerifier.java,verify,boolean verify(LMSContext lMSContext);,-,-,-,-,,,
com.talview.recruit-250,IDevicePopManager.java,verify,"boolean verify(SigningAlgorithm signingAlgorithm, String str, String str2);",-,-,-,-,,,
com.proyectoultra11-100,JWSVerifier.java,verify,"boolean verify(JWSHeader jWSHeader, byte[] bArr, Base64URL base64URL) throws JOSEException;",-,-,-,-,,,
com.phorest.dexteritysalon-93,JWTClaimsSetVerifier.java,verify,"void verify(JWTClaimsSet jWTClaimsSet, C c) throws BadJWTException;",-,-,-,-,,,
com.chownow.whiskeyinferno-141,LMSContextBasedVerifier.java,verify,boolean verify(LMSContext lMSContext);,-,-,-,-,,,
com.droid.mobile.glenheadcountryclub-32,X509HostnameVerifier.java,verify,"void verify(String str, X509Certificate x509Certificate) throws SSLException;",-,-,-,-,,,
com.netpulse.mobile.ymcaofvirginiasblueridge-108,ILocateByBarcodeActionListener.java,verify,void verify();,-,-,-,-,,,
com.churchlinkapp.c37591-412910,StateAwareSignature.java,verify,"boolean verify(byte[] bArr, int i2, int i3);",-,-,-,-,,,
com.chronogolf.booking.ospreyridge-1006010010,JWTClaimsSetVerifier.java,verify,"void verify(JWTClaimsSet jWTClaimsSet, C c) throws BadJWTException;",-,-,-,-,,,
com.st_josephs_trimulgherry.school-11,HttpExpectationVerifier.java,verify,"void verify(HttpRequest httpRequest, HttpResponse httpResponse, HttpContext httpContext) throws HttpException;",-,-,-,-,,,
com.gallagher.security.commandcentremobile-920024,StateAwareSignature.java,verify,"boolean verify(byte[] bArr, int i, int i2) throws SignatureException;",-,-,-,-,,,
com.myaccidentassist.gproslaw-22,PublicKeyVerify.java,verify,"void verify(final byte[] signature, final byte[] data) throws GeneralSecurityException;",-,-,-,-,,,
com.eduven.cc.pieRecipes-233,X509HostnameVerifier.java,verify,"void verify(String str, X509Certificate x509Certificate) throws SSLException;",-,-,-,-,,,
com.atlasappco.fanduellineups-254,X509HostnameVerifier.java,verify,"void verify(String str, String[] strArr, String[] strArr2) throws SSLException;",-,-,-,-,,,
au.com.makingthedough-25061,StateAwareSignature.java,verify,boolean verify(byte[] bArr) throws SignatureException;,-,-,-,-,,,
com.seeclickfix.engagessf.app-4735,HttpExpectationVerifier.java,verify,"void verify(HttpRequest httpRequest, HttpResponse httpResponse, HttpContext httpContext) throws HttpException;",-,-,-,-,,,
mo.gov.sport.marathonapp-1934,JWTClaimsSetVerifier.java,verify,"void verify(JWTClaimsSet jWTClaimsSet, C c) throws BadJWTException;",-,-,-,-,,,
com.churchlinkapp.c37591-412910,MockedStatic.java,verify,"void verify(Verification verification, VerificationMode verificationMode);",-,-,-,-,,,
com.tutucars.tutucars-60,X509HostnameVerifier.java,verify,"void verify(String str, X509Certificate x509Certificate) throws SSLException;",-,-,-,-,,,
com.netpulse.mobile.ymcaofvirginiasblueridge-108,X509AttributeCertificate.java,verify,"void verify(PublicKey publicKey, String str) throws CertificateException, NoSuchAlgorithmException, InvalidKeyException, NoSuchProviderException, SignatureException;",-,-,-,-,,,
com.sendgroupsms.MarriageAnniversaryPhotoFrameMakerFull-18,X509HostnameVerifier.java,verify,"void verify(String str, String[] strArr, String[] strArr2) throws SSLException;",-,-,-,-,,,
com.feetguider-130,X509HostnameVerifier.java,verify,"void verify(String str, String[] strArr, String[] strArr2) throws SSLException;",-,-,-,-,,,
pl.proget.progetmdm-1022,JWTClaimsVerifier.java,verify,"@Deprecated
    void verify(JWTClaimsSet jWTClaimsSet) throws BadJWTException;",-,-,-,-,,,
com.cutcom.apparmor.portagecollege-19,PGPContentVerifier.java,verify,boolean verify(byte[] bArr);,-,-,-,-,,,
com.chownow.whiskeyinferno-141,X509AttributeCertificate.java,verify,"void verify(PublicKey publicKey, String str) throws CertificateException, NoSuchAlgorithmException, InvalidKeyException, NoSuchProviderException, SignatureException;",-,-,-,-,,,
com.st_josephs_trimulgherry.school-11,X509HostnameVerifier.java,verify,"void verify(String str, X509Certificate x509Certificate) throws SSLException;",-,-,-,-,,,
com.trainerize.beginnerfitnesssolutions-809000,JWTClaimsSetVerifier.java,verify,"void verify(JWTClaimsSet jWTClaimsSet, C c) throws BadJWTException;",-,-,-,-,,,
mo.gov.sport.marathonapp-1934,X509AttributeCertificate.java,verify,"void verify(PublicKey publicKey, String str) throws CertificateException, NoSuchAlgorithmException, InvalidKeyException, NoSuchProviderException, SignatureException;",-,-,-,-,,,
com.phorest.dexteritysalon-93,PublicKeyVerify.java,verify,"void verify(final byte[] signature, final byte[] data) throws GeneralSecurityException;",-,-,-,-,,,
com.proyectoultra24-100,JWSVerifier.java,verify,"boolean verify(JWSHeader jWSHeader, byte[] bArr, Base64URL base64URL) throws JOSEException;",-,-,-,-,,,
com.gallagher.security.commandcentremobile-920024,LMSContextBasedVerifier.java,verify,boolean verify(LMSContext lMSContext);,-,-,-,-,,,
mo.gov.sport.marathonapp-1934,StateAwareSignature.java,verify,boolean verify(byte[] bArr) throws SignatureException;,-,-,-,-,,,
com.toOrdr-24,StateAwareSignature.java,verify,"boolean verify(byte[] bArr, int i, int i2) throws SignatureException;",-,-,-,-,,,
com.radio.station.WHTA.FM-825175,X509HostnameVerifier.java,verify,"void verify(String str, String[] strArr, String[] strArr2) throws SSLException;",-,-,-,-,,,
com.churchlinkapp.c37591-412910,ClientUpgradeContent.java,verify,public abstract void verify(@NotNull Headers headers);,-,-,-,-,,,
mo.gov.sport.marathonapp-1934,JWTClaimsVerifier.java,verify,"@Deprecated
    void verify(JWTClaimsSet jWTClaimsSet) throws BadJWTException;",-,-,-,-,,,
com.cutcom.apparmor.portagecollege-19,X509AttributeCertificate.java,verify,"void verify(PublicKey publicKey, String str) throws CertificateException, NoSuchAlgorithmException, InvalidKeyException, NoSuchProviderException, SignatureException;",-,-,-,-,,,
pl.proget.progetmdm-1022,AsymmetricKey.java,verify,"boolean verify(String str, String str2);",-,-,-,-,,,
com.droid.mobile.glenheadcountryclub-32,X509HostnameVerifier.java,verify,"void verify(String str, String[] strArr, String[] strArr2) throws SSLException;",-,-,-,-,,,
mo.gov.sport.marathonapp-1934,JWSVerifier.java,verify,"boolean verify(JWSHeader jWSHeader, byte[] bArr, Base64URL base64URL) throws JOSEException;",-,-,-,-,,,
com.educationapps.sapficotutorial-10,HttpExpectationVerifier.java,verify,"void verify(HttpRequest httpRequest, HttpResponse httpResponse, HttpContext httpContext);",-,-,-,-,,,
com.openichnos.OpenichnosApp-120,StateAwareSignature.java,verify,boolean verify(byte[] bArr) throws SignatureException;,-,-,-,-,,,
com.nekomeshi312.stardroid-53,X509HostnameVerifier.java,verify,"void verify(String str, SSLSocket sSLSocket) throws IOException;",-,-,-,-,,,
com.toOrdr-24,JWTClaimsSetVerifier.java,verify,"void verify(JWTClaimsSet jWTClaimsSet, C c) throws BadJWTException;",-,-,-,-,,,
com.company.locad-7062,TransferNetworkConnectionType.java,verify,protected abstract boolean verify(NetworkInfo networkInfo);,-,-,-,-,,,
com.sense.installer.se-3359,VerificationMode.java,verify,void verify(VerificationData verificationData);,-,-,-,-,,,
com.feetguider-130,HttpExpectationVerifier.java,verify,"void verify(HttpRequest httpRequest, HttpResponse httpResponse, HttpContext httpContext) throws HttpException;",-,-,-,-,,,
com.zipmobile-462,VerifyHandler.java,verify,boolean verify(byte[] bArr) throws CryptoException;,-,-,-,-,,,
com.gallagher.security.commandcentremobile-920024,StateAwareSignature.java,verify,boolean verify(byte[] bArr) throws SignatureException;,-,-,-,-,,,
com.chronogolf.booking.ospreyridge-1006010010,X509AttributeCertificate.java,verify,"void verify(PublicKey publicKey, String str) throws CertificateException, NoSuchAlgorithmException, InvalidKeyException, NoSuchProviderException, SignatureException;",-,-,-,-,,,
com.nippt.shona.free.bible-26,HttpExpectationVerifier.java,verify,"void verify(HttpRequest httpRequest, HttpResponse httpResponse, HttpContext httpContext) throws HttpException;",-,-,-,-,,,
com.chronogolf.booking.bridgesatberesford-1006010010,PublicKeyVerify.java,verify,"void verify(final byte[] signature, final byte[] data) throws GeneralSecurityException;",-,-,-,-,,,
au.com.makingthedough-25061,JWTClaimsSetVerifier.java,verify,"void verify(JWTClaimsSet jWTClaimsSet, C c) throws BadJWTException;",-,-,-,-,,,
com.toOrdr-24,JWSVerifier.java,verify,"boolean verify(JWSHeader jWSHeader, byte[] bArr, Base64URL base64URL) throws JOSEException;",-,-,-,-,,,
mo.gov.sport.marathonapp-1934,StateAwareSignature.java,verify,"boolean verify(byte[] bArr, int i, int i2) throws SignatureException;",-,-,-,-,,,
com.chronogolf.booking.bridgesatberesford-1006010010,LMSContextBasedVerifier.java,verify,boolean verify(LMSContext lMSContext);,-,-,-,-,,,
mom.social.socialmom-32711,TransferNetworkConnectionType.java,verify,protected abstract boolean verify(NetworkInfo networkInfo);,-,-,-,-,,,
com.chronogolf.booking.ospreyridge-1006010010,JOSEObjectTypeVerifier.java,verify,"void verify(JOSEObjectType jOSEObjectType, C c) throws BadJOSEException;",-,-,-,-,,,
mom.social.socialmom-32711,VerificationMode.java,verify,void verify(VerificationData verificationData);,-,-,-,-,,,
com.wsimhd2.player-402021,Driver.java,verify,"boolean verify(XMLReader xMLReader, InputSource inputSource, boolean z) throws Exception;",-,-,-,-,,,
com.tracfone.simple.cloud-2023127700,HttpExpectationVerifier.java,verify,"void verify(HttpRequest httpRequest, HttpResponse httpResponse, HttpContext httpContext);",-,-,-,-,,,
com.chronogolf.booking.bridgesatberesford-1006010010,StateAwareSignature.java,verify,boolean verify(byte[] bArr) throws SignatureException;,-,-,-,-,,,
com.chronogolf.booking.bridgesatberesford-1006010010,JOSEObjectTypeVerifier.java,verify,"void verify(JOSEObjectType jOSEObjectType, C c) throws BadJOSEException;",-,-,-,-,,,
com.openichnos.OpenichnosApp-120,StateAwareSignature.java,verify,"boolean verify(byte[] bArr, int i, int i2) throws SignatureException;",-,-,-,-,,,
com.neuron.manager-1313,X509HostnameVerifier.java,verify,"void verify(String str, String[] strArr, String[] strArr2) throws SSLException;",-,-,-,-,,,
com.nekomeshi312.stardroid-53,HttpExpectationVerifier.java,verify,"void verify(HttpRequest httpRequest, HttpResponse httpResponse, HttpContext httpContext) throws HttpException;",-,-,-,-,,,
com.CSambirae.android-1400000,LMSContextBasedVerifier.java,verify,boolean verify(LMSContext lMSContext);,-,-,-,-,,,
weightloss.loseweight.weightlossformen.appformen.menweightloss.homeworkout.diet_21days-3,X509HostnameVerifier.java,verify,"void verify(String str, SSLSocket sSLSocket) throws IOException;",-,-,-,-,,,
de.nextbike-20241001,PhoneNumberUtil.java,verify,"public abstract boolean verify(Phonenumber.PhoneNumber phoneNumber, CharSequence charSequence, PhoneNumberUtil phoneNumberUtil);",-,-,-,-,,,
com.sendgroupsms.MarriageAnniversaryPhotoFrameMakerFull-18,HttpExpectationVerifier.java,verify,"void verify(HttpRequest httpRequest, HttpResponse httpResponse, HttpContext httpContext) throws HttpException;",-,-,-,-,,,
pl.proget.progetmdm-1022,JOSEObjectTypeVerifier.java,verify,"void verify(JOSEObjectType jOSEObjectType, C c10) throws BadJOSEException;",-,-,-,-,,,
dk.pifgroupas.pif-210020109,StateAwareSignature.java,verify,"boolean verify(byte[] bArr, int i, int i2) throws SignatureException;",-,-,-,-,,,
au.com.makingthedough-25061,JOSEObjectTypeVerifier.java,verify,"void verify(JOSEObjectType jOSEObjectType, C c) throws BadJOSEException;",-,-,-,-,,,
com.educationapps.sapficotutorial-10,X509HostnameVerifier.java,verify,"void verify(String str, X509Certificate x509Certificate);",-,-,-,-,,,
com.chronogolf.booking.ospreyridge-1006010010,JWSVerifier.java,verify,"boolean verify(JWSHeader jWSHeader, byte[] bArr, Base64URL base64URL) throws JOSEException;",-,-,-,-,,,
com.connecthr-42,X509HostnameVerifier.java,verify,"void verify(String str, String[] strArr, String[] strArr2) throws SSLException;",-,-,-,-,,,
com.ng.planetcam-23,X509HostnameVerifier.java,verify,"void verify(String str, String[] strArr, String[] strArr2) throws SSLException;",-,-,-,-,,,
com.talview.recruit-250,JWSVerifier.java,verify,"boolean verify(JWSHeader jWSHeader, byte[] bArr, Base64URL base64URL) throws JOSEException;",-,-,-,-,,,
hr.grafiknet.smartcitycommute-216,PhoneNumberUtil.java,verify,"public abstract boolean verify(Phonenumber.PhoneNumber phoneNumber, CharSequence charSequence, PhoneNumberUtil phoneNumberUtil, PhoneNumberMatcher phoneNumberMatcher);",-,-,-,-,,,
com.talview.recruit-250,SSLCertificateVerifier.java,verify,"@CalledByNative
    boolean verify(byte[] bArr);",-,-,-,-,,,
com.ng.planetcam-23,X509HostnameVerifier.java,verify,"void verify(String str, X509Certificate x509Certificate) throws SSLException;",-,-,-,-,,,
dk.pifgroupas.pif-210020109,StateAwareSignature.java,verify,boolean verify(byte[] bArr) throws SignatureException;,-,-,-,-,,,
com.tutucars.tutucars-60,X509HostnameVerifier.java,verify,"void verify(String str, SSLSocket sSLSocket) throws IOException;",-,-,-,-,,,
com.chronogolf.booking.ospreyridge-1006010010,PublicKeyVerify.java,verify,"void verify(final byte[] signature, final byte[] data) throws GeneralSecurityException;",-,-,-,-,,,
com.churchlinkapp.c37591-412910,InOrder.java,verify,"<T> T verify(T t2, VerificationMode verificationMode);",-,-,-,-,,,
uk.co.hungrrr.behindthewall-4000200,JWTClaimsSetVerifier.java,verify,"void verify(JWTClaimsSet jWTClaimsSet, C c) throws BadJWTException;",-,-,-,-,,,
au.com.makingthedough-25061,StateAwareSignature.java,verify,"boolean verify(byte[] bArr, int i, int i2) throws SignatureException;",-,-,-,-,,,
com.ng.planetcam-23,HttpExpectationVerifier.java,verify,"void verify(HttpRequest httpRequest, HttpResponse httpResponse, HttpContext httpContext) throws HttpException;",-,-,-,-,,,
com.trainerize.nourishingandflourishing-762000,JWTClaimsSetVerifier.java,verify,"void verify(JWTClaimsSet jWTClaimsSet, C c) throws BadJWTException;",-,-,-,-,,,
com.radio.station.WHTA.FM-825175,X509HostnameVerifier.java,verify,"void verify(String str, SSLSocket sSLSocket) throws IOException;",-,-,-,-,,,
mom.social.socialmom-32711,Delta.java,verify,public abstract void verify(List<T> list) throws PatchFailedException;,-,-,-,-,,,
com.chronogolf.booking.ospreyridge-1006010010,StateAwareSignature.java,verify,"boolean verify(byte[] bArr, int i, int i2) throws SignatureException;",-,-,-,-,,,
com.trainerize.nourishingandflourishing-762000,JWSVerifier.java,verify,"boolean verify(JWSHeader jWSHeader, byte[] bArr, Base64URL base64URL) throws JOSEException;",-,-,-,-,,,
com.talview.recruit-250,AsymmetricRsaKey.java,verify,"@Override // com.microsoft.identity.common.internal.platform.AsymmetricKey
    boolean verify(String str, String str2);",-,-,-,-,,,
com.atlasappco.fanduellineups-254,X509HostnameVerifier.java,verify,"void verify(String str, X509Certificate x509Certificate) throws SSLException;",-,-,-,-,,,
au.com.makingthedough-25061,X509AttributeCertificate.java,verify,"void verify(PublicKey publicKey, String str) throws CertificateException, NoSuchAlgorithmException, InvalidKeyException, NoSuchProviderException, SignatureException;",-,-,-,-,,,
com.serveture.staffmark-201,HttpExpectationVerifier.java,verify,"void verify(HttpRequest httpRequest, HttpResponse httpResponse, HttpContext httpContext) throws HttpException;",-,-,-,-,,,
pl.proget.progetmdm-1022,JWTClaimsSetVerifier.java,verify,"void verify(JWTClaimsSet jWTClaimsSet, C c10) throws BadJWTException;",-,-,-,-,,,
com.atlasappco.fanduellineups-254,X509HostnameVerifier.java,verify,"void verify(String str, SSLSocket sSLSocket) throws IOException;",-,-,-,-,,,
com.nick.memasik-309,TransferNetworkConnectionType.java,verify,protected abstract boolean verify(NetworkInfo networkInfo);,-,-,-,-,,,
com.sense.installer.se-3359,InOrder.java,verify,<T> T verify(T t);,-,-,-,-,,,
com.nous.jmb-24224,ConscryptHostnameVerifier.java,verify,"boolean verify(X509Certificate[] x509CertificateArr, String str, SSLSession sSLSession);",-,-,-,-,,,
weightloss.loseweight.weightlossformen.appformen.menweightloss.homeworkout.diet_21days-3,X509HostnameVerifier.java,verify,"void verify(String str, X509Certificate x509Certificate) throws SSLException;",-,-,-,-,,,
com.churchlinkapp.c37591-412910,MockedStatic.java,verify,void verify(Verification verification);,-,-,-,-,,,
com.chronogolf.booking.ospreyridge-1006010010,StateAwareSignature.java,verify,boolean verify(byte[] bArr) throws SignatureException;,-,-,-,-,,,
com.CSambirae.android-1400000,PublicKeyVerify.java,verify,"void verify(final byte[] signature, final byte[] data) throws GeneralSecurityException;",-,-,-,-,,,
com.radio.station.WHTA.FM-825175,X509HostnameVerifier.java,verify,"void verify(String str, X509Certificate x509Certificate) throws SSLException;",-,-,-,-,,,
com.talview.recruit-250,JWTClaimsSetVerifier.java,verify,"void verify(JWTClaimsSet jWTClaimsSet, C c) throws BadJWTException;",-,-,-,-,,,
com.feetguider-130,X509HostnameVerifier.java,verify,"void verify(String str, SSLSocket sSLSocket) throws IOException;",-,-,-,-,,,
com.proyectoultra11-100,JWTClaimsSetVerifier.java,verify,"void verify(JWTClaimsSet jWTClaimsSet, C c) throws BadJWTException;",-,-,-,-,,,
com.droid.mobile.glenheadcountryclub-32,X509HostnameVerifier.java,verify,"void verify(String str, SSLSocket sSLSocket) throws IOException;",-,-,-,-,,,
com.talview.recruit-250,JWTClaimsVerifier.java,verify,"@Deprecated
    void verify(JWTClaimsSet jWTClaimsSet) throws BadJWTException;",-,-,-,-,,,
com.toOrdr-24,LMSContextBasedVerifier.java,verify,boolean verify(LMSContext lMSContext);,-,-,-,-,,,
com.openichnos.OpenichnosApp-120,LMSContextBasedVerifier.java,verify,boolean verify(LMSContext lMSContext);,-,-,-,-,,,
pl.proget.progetmdm-1022,IDevicePopManager.java,verify,"boolean verify(@NonNull SigningAlgorithm signingAlgorithm, byte[] bArr, byte[] bArr2);",-,-,-,-,,,
com.chronogolf.booking.bridgesatberesford-1006010010,JWSVerifier.java,verify,"boolean verify(JWSHeader jWSHeader, byte[] bArr, Base64URL base64URL) throws JOSEException;",-,-,-,-,,,
com.nekomeshi312.stardroid-53,X509HostnameVerifier.java,verify,"void verify(String str, X509Certificate x509Certificate) throws SSLException;",-,-,-,-,,,
com.utilityxgitapp.everynotes.memo-2097154,JWTClaimsSetVerifier.java,verify,"void verify(JWTClaimsSet jWTClaimsSet, C c) throws BadJWTException;",-,-,-,-,,,
mom.social.socialmom-32711,InOrder.java,verify,"<T> T verify(T t, VerificationMode verificationMode);",-,-,-,-,,,
com.chownow.whiskeyinferno-141,JOSEObjectTypeVerifier.java,verify,"void verify(JOSEObjectType jOSEObjectType, C c) throws BadJOSEException;",-,-,-,-,,,
com.talview.recruit-250,ClientUpgradeContent.java,verify,public abstract void verify(@NotNull Headers headers);,-,-,-,-,,,
org.myklos.mediaserverplayer-1704,PhoneNumberUtil.java,verify,"public abstract boolean verify(Phonenumber.PhoneNumber phoneNumber, CharSequence charSequence, PhoneNumberUtil phoneNumberUtil, PhoneNumberMatcher phoneNumberMatcher);",-,-,-,-,,,
com.wedup.kliko-630,X509HostnameVerifier.java,verify,"void verify(String str, X509Certificate x509Certificate) throws SSLException;",-,-,-,-,,,
com.talview.recruit-250,JOSEObjectTypeVerifier.java,verify,"void verify(JOSEObjectType jOSEObjectType, C c) throws BadJOSEException;",-,-,-,-,,,
com.nippt.shona.free.bible-26,X509HostnameVerifier.java,verify,"void verify(String str, String[] strArr, String[] strArr2) throws SSLException;",-,-,-,-,,,
pl.proget.progetmdm-1022,AsymmetricRsaKey.java,verify,"@Override // com.microsoft.identity.common.internal.platform.AsymmetricKey
    boolean verify(String str, String str2);",-,-,-,-,,,
com.phorest.dexteritysalon-93,JOSEObjectTypeVerifier.java,verify,"void verify(JOSEObjectType jOSEObjectType, C c) throws BadJOSEException;",-,-,-,-,,,
com.nekomeshi312.stardroid-53,X509HostnameVerifier.java,verify,"void verify(String str, String[] strArr, String[] strArr2) throws SSLException;",-,-,-,-,,,
be.truthful.app-10,SignatureVerifier.java,verify,"boolean verify(byte[] bArr, byte[] bArr2);",-,-,-,-,,,
com.churchlinkapp.c37591-412910,VerificationMode.java,verify,void verify(VerificationData verificationData);,-,-,-,-,,,
com.connecthr-42,HttpExpectationVerifier.java,verify,"void verify(HttpRequest httpRequest, HttpResponse httpResponse, HttpContext httpContext) throws HttpException;",-,-,-,-,,,
uk.co.hungrrr.behindthewall-4000200,X509AttributeCertificate.java,verify,"void verify(PublicKey publicKey, String str) throws CertificateException, NoSuchAlgorithmException, InvalidKeyException, NoSuchProviderException, SignatureException;",-,-,-,-,,,
com.chownow.whiskeyinferno-141,JWTClaimsSetVerifier.java,verify,"void verify(JWTClaimsSet jWTClaimsSet, C c) throws BadJWTException;",-,-,-,-,,,
com.chownow.whiskeyinferno-141,PublicKeyVerify.java,verify,"void verify(final byte[] signature, final byte[] data) throws GeneralSecurityException;",-,-,-,-,,,
mom.social.socialmom-32711,PhoneNumberUtil.java,verify,"public abstract boolean verify(Phonenumber.PhoneNumber phoneNumber, String str, PhoneNumberUtil phoneNumberUtil);",-,-,-,-,,,
com.openichnos.OpenichnosApp-120,X509AttributeCertificate.java,verify,"void verify(PublicKey publicKey, String str) throws CertificateException, NoSuchAlgorithmException, InvalidKeyException, NoSuchProviderException, SignatureException;",-,-,-,-,,,
com.CSambirae.android-1400000,JWTClaimsSetVerifier.java,verify,"void verify(JWTClaimsSet jWTClaimsSet, C c) throws BadJWTException;",-,-,-,-,,,
com.gallagher.security.commandcentremobile-920024,RawContentVerifier.java,verify,"boolean verify(byte[] bArr, byte[] bArr2);",-,-,-,-,,,
com.educationapps.sapficotutorial-10,X509HostnameVerifier.java,verify,"void verify(String str, String[] strArr, String[] strArr2);",-,-,-,-,,,
com.eduven.cc.pieRecipes-233,X509HostnameVerifier.java,verify,"void verify(String str, SSLSocket sSLSocket) throws IOException;",-,-,-,-,,,
com.wedup.kliko-630,AllowAllHostnameVerifier.java,verify,"@Override // cz.msebera.android.httpclient.conn.ssl.X509HostnameVerifier
    public final void verify(String str, String[] strArr, String[] strArr2) {
    }","{
    }",{},0,-1,,,
com.radio.station.WHTA.FM-825175,AllowAllHostnameVerifier.java,verify,"@Override // com.axhive.apachehttp.conn.ssl.X509HostnameVerifier
    public final void verify(String str, String[] strArr, String[] strArr2) {
    }","{
    }",{},0,-1,,,
com.eduven.cc.pieRecipes-233,AllowAllHostnameVerifier.java,verify,"@Override // org.apache.http.conn.ssl.X509HostnameVerifier
    public final void verify(String str, String[] strArr, String[] strArr2) {
    }","{
    }",{},0,-1,,,
com.wedup.kliko-630,WorkQueue.java,verify,"void verify(boolean z) {
        }","{
        }",{},0,-1,,,
com.neuron.manager-1313,AllowAllHostnameVerifier.java,verify,"@Override // org.apache.http.conn.ssl.X509HostnameVerifier
    public final void verify(String str, String[] strArr, String[] strArr2) {
    }","{
    }",{},0,-1,,,
com.connecthr-42,AllowAllHostnameVerifier.java,verify,"@Override // org.apache.http.conn.ssl.X509HostnameVerifier
    public final void verify(String str, String[] strArr, String[] strArr2) {
    }","{
    }",{},0,-1,,,
cherry.android.com.cherry-77,AllowAllHostnameVerifierHC4.java,verify,"@Override // org.apache.http.conn.ssl.X509HostnameVerifier
    public final void verify(String str, String[] strArr, String[] strArr2) {
    }","{
    }",{},0,-1,,,
com.fikra_plusplus.dinars-21024,WorkQueue.java,verify,"void verify(boolean z) {
        }","{
        }",{},0,-1,,,
com.tutucars.tutucars-60,AllowAllHostnameVerifier.java,verify,"@Override // org.apache.http.conn.ssl.X509HostnameVerifier
    public final void verify(String str, String[] strArr, String[] strArr2) {
    }","{
    }",{},0,-1,,,
com.st_josephs_trimulgherry.school-11,AllowAllHostnameVerifier.java,verify,"@Override // cz.msebera.android.httpclient.conn.ssl.X509HostnameVerifier
    public final void verify(String str, String[] strArr, String[] strArr2) {
    }","{
    }",{},0,-1,,,
com.feetguider-130,AllowAllHostnameVerifier.java,verify,"@Override // cz.msebera.android.httpclient.conn.ssl.X509HostnameVerifier
    public final void verify(String str, String[] strArr, String[] strArr2) {
    }","{
    }",{},0,-1,,,
de.nextbike-20241001,Verifier.java,verify,"protected void verify() throws Throwable {
    }","{
    }",{},0,-1,,,
eu.itec4.itimer-159,AllowAllHostnameVerifierHC4.java,verify,"@Override // org.apache.http.conn.ssl.X509HostnameVerifier
    public final void verify(String str, String[] strArr, String[] strArr2) {
    }","{
    }",{},0,-1,,,
com.nippt.shona.free.bible-26,AllowAllHostnameVerifier.java,verify,"@Override // org.apache.http.conn.ssl.X509HostnameVerifier
    public final void verify(String str, String[] strArr, String[] strArr2) {
    }","{
    }",{},0,-1,,,
